City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,old town,50.087,14.4202,6.37,74,40,6.69,CZ,1706310711
1,boguchany,58.3814,97.4531,-22.3,100,95,0.89,RU,1706310711
2,port-aux-francais,-49.35,70.2167,6.71,95,81,14.95,TF,1706310711
3,karratha,-20.7377,116.8463,25.5,77,7,6.36,AU,1706310520
4,san jose,37.3394,-121.895,18.2,57,100,2.06,US,1706310510
5,stanley,54.868,-1.6985,6.27,86,20,3.6,GB,1706310711
6,vorgashor,67.5833,63.95,-11.56,96,99,2.76,RU,1706310713
7,tiksi,71.6872,128.8694,-28.5,97,67,4.7,RU,1706310713
8,isangel,-19.55,169.2667,26.81,57,95,5.43,VU,1706310528
9,barra de santo antonio,-9.4047,-35.5072,27.6,83,56,7.02,BR,1706310714
10,adamstown,-25.066,-130.1015,24.57,72,100,3.41,PN,1706310714
11,waitangi,-43.9535,-176.5597,17.68,86,79,3.13,NZ,1706310715
12,al ghayzah,16.2079,52.176,22.76,67,16,2.46,YE,1706310715
13,west island,-12.1568,96.8225,25.99,94,100,1.03,CC,1706310716
14,nynashamn,58.9034,17.9479,1.17,100,100,3.75,SE,1706310716
15,port saint john's,-31.6229,29.5448,23.95,88,11,3.47,ZA,1706310716
16,brisas de zicatela,15.8369,-97.0419,29.29,61,0,2.57,MX,1706310717
17,vilyuchinsk,52.9306,158.4028,-5.85,88,100,1.62,RU,1706310717
18,luderitz,-26.6481,15.1594,19.59,77,2,2.2,NA,1706310718
19,tralee,52.2704,-9.7026,7.71,85,100,4.7,IE,1706310718
20,ghat,24.9647,10.1728,12.44,35,31,2.35,LY,1706310718
21,pucallpa,-8.3791,-74.5539,30.02,70,40,3.6,PE,1706310718
22,guichon,-32.35,-57.2,23.84,46,0,3.19,UY,1706310719
23,ushuaia,-54.8,-68.3,12.81,76,75,5.14,AR,1706310719
24,burley,42.5357,-113.7928,5.16,68,0,3.09,US,1706310720
25,sheridan,44.8333,-106.9173,8.9,38,0,0.89,US,1706310720
26,abbadia san salvatore,42.8821,11.6695,6.25,89,81,0.52,IT,1706310720
27,pilar,-9.5972,-35.9567,26.96,77,84,4.73,BR,1706310721
28,grytviken,-54.2811,-36.5092,3.5,89,97,2.23,GS,1706310721
29,margaret river,-33.95,115.0667,15.48,61,0,2.47,AU,1706310721
30,olonkinbyen,70.9221,-8.7187,0.69,72,55,12.04,SJ,1706310722
31,san patricio,28.017,-97.5169,19.05,91,98,2.27,US,1706310722
32,jamestown,42.097,-79.2353,3.34,100,100,3.09,US,1706310722
33,nagqu,31.5,92.0,-17.06,78,77,1.01,CN,1706310723
34,chunskiy,56.0815,99.6342,-22.96,100,68,0.86,RU,1706310723
35,port elizabeth,-33.918,25.5701,21.17,95,100,5.14,ZA,1706310724
36,kyabram,-36.3167,145.05,17.95,48,1,3.54,AU,1706310724
37,wailua homesteads,22.0669,-159.378,26.74,74,75,6.69,US,1706310724
38,ribeira grande,38.5167,-28.7,17.65,97,100,6.71,PT,1706310504
39,happy valley-goose bay,53.3168,-60.3315,-15.61,87,35,2.47,CA,1706310725
40,petropavlovsk-kamchatsky,53.0452,158.6483,-6.67,87,75,5.0,RU,1706310725
41,isla mujeres,21.2311,-86.731,27.03,80,54,5.55,MX,1706310726
42,invercargill,-46.4,168.35,17.79,61,16,4.47,NZ,1706310612
43,yellowknife,62.456,-114.3525,-21.44,96,100,3.58,CA,1706310726
44,mossel bay,-34.1831,22.146,21.21,83,90,5.61,ZA,1706310727
45,puerto natales,-51.7236,-72.4875,9.81,69,35,5.96,CL,1706310725
46,chonchi,-42.6128,-73.8092,18.4,84,100,2.18,CL,1706310727
47,isafjordur,66.0755,-23.124,-3.72,78,92,3.1,IS,1706310728
48,blackmans bay,-43.0167,147.3167,18.07,67,93,5.8,AU,1706310728
49,college,64.8569,-147.8028,-32.83,68,75,0.0,US,1706310495
50,palmer,42.1584,-72.3287,3.97,84,100,2.57,US,1706310729
51,puerto ayora,-0.7393,-90.3518,27.53,91,75,3.13,EC,1706310729
52,kargasok,59.0556,80.8572,-10.02,96,100,2.68,RU,1706310729
53,carnarvon,-24.8667,113.6333,26.36,55,0,5.04,AU,1706310730
54,kerikeri,-35.2268,173.9474,20.73,62,100,2.26,NZ,1706310620
55,atafu village,-8.5421,-172.5159,29.47,74,100,4.79,TK,1706310730
56,ngaruawahia,-37.6674,175.1555,19.55,86,100,5.36,NZ,1706310731
57,williamson,30.6502,-97.6003,14.28,97,100,3.09,US,1706310486
58,albany,42.6001,-73.9662,4.8,85,100,1.0,US,1706310715
59,prachuap khiri khan,12.2167,99.75,19.57,77,15,1.33,TH,1706310732
60,igarka,67.4667,86.5833,-13.47,93,100,8.36,RU,1706310732
61,ta`u,-14.2336,-169.5144,28.75,80,100,6.25,AS,1706310733
62,anadyr,64.75,177.4833,-32.78,74,0,4.0,RU,1706310733
63,bethel,41.3712,-73.414,6.05,87,100,0.0,US,1706310719
64,saint-pierre,-21.3393,55.4781,25.82,89,38,5.66,RE,1706310733
65,luling,29.9322,-90.3665,18.99,92,75,3.6,US,1706310584
66,ilulissat,69.2167,-51.1,-19.99,45,75,4.12,GL,1706310734
67,borba,-4.3878,-59.5939,24.02,99,100,1.39,BR,1706310734
68,puerto madryn,-42.7692,-65.0385,32.89,26,93,12.49,AR,1706310735
69,barinas,8.6226,-70.2075,29.79,47,97,4.45,VE,1706310496
70,tolanaro,-25.0319,46.9987,20.72,85,34,2.94,MG,1706310735
71,thompson,55.7435,-97.8558,-4.91,93,100,4.12,CA,1706310736
72,cabinda,-5.55,12.2,26.3,91,93,1.59,AO,1706310736
73,masterton,-40.9597,175.6575,18.94,70,100,5.14,NZ,1706310736
74,amagunze,6.3267,7.6539,25.61,21,12,2.32,NG,1706310737
75,bakhmach,51.1808,32.7569,-0.03,99,100,2.68,UA,1706310737
76,el bauga,18.262,33.9081,14.2,33,100,5.56,SD,1706310737
77,iskateley,67.6803,53.1512,-11.1,97,96,2.68,RU,1706310738
78,cadereyta,25.5833,-99.9833,28.06,45,10,1.81,MX,1706310738
79,longyearbyen,78.2186,15.6401,-0.09,59,0,10.8,SJ,1706310739
80,saldanha,-33.0117,17.9442,16.77,95,69,3.32,ZA,1706310739
81,magadan,59.5667,150.8,-19.12,75,100,3.22,RU,1706310739
82,saipan,15.1355,145.701,24.39,88,100,6.69,MP,1706310740
83,port alfred,-33.5906,26.891,21.46,70,68,4.96,ZA,1706310740
84,goondiwindi,-28.55,150.3167,31.89,51,99,7.3,AU,1706310741
85,olyokminsk,60.3736,120.4264,-26.76,96,100,2.55,RU,1706310741
86,rosso,16.4986,-15.8153,24.02,13,9,4.85,SN,1706310742
87,tazovsky,67.4667,78.7,-18.56,97,100,2.81,RU,1706310742
88,mount pearl,47.5166,-52.7813,-7.14,80,100,1.34,CA,1706310741
89,lautoka,-17.6167,177.4667,29.92,58,40,3.09,FJ,1706310743
90,labrador city,52.9463,-66.9114,-16.05,85,40,1.54,CA,1706310743
91,whitehorse,60.7161,-135.0538,-19.57,84,100,2.06,CA,1706310744
92,lascano,-33.6667,-54.2,21.22,63,0,5.09,UY,1706310744
93,badger,64.8,-147.5333,-32.88,69,75,0.0,US,1706310744
94,kununurra,-15.7667,128.7333,26.99,89,100,1.54,AU,1706310745
95,keflavik,64.0049,-22.5624,-1.05,100,75,7.72,IS,1706310745
96,yatou,37.15,122.3833,-2.15,67,22,3.09,CN,1706310745
97,chernyshevskiy,63.0128,112.4714,-43.33,100,53,1.1,RU,1706310746
98,gryazi,52.4966,39.9359,-4.1,99,100,0.89,RU,1706310746
99,la passe,45.5549,-0.8967,10.55,95,100,2.74,FR,1706310746
100,edinburgh of the seven seas,-37.0676,-12.3116,16.92,81,13,4.89,SH,1706310747
101,callao,-12.0667,-77.15,27.16,61,0,7.2,PE,1706310747
102,fayzabad,37.1166,70.58,3.73,61,100,4.01,AF,1706310747
103,erenhot,43.6475,111.9767,-18.94,92,10,1.81,CN,1706310748
104,minas de marcona,-15.2119,-75.1103,20.63,73,19,6.22,PE,1706310748
105,ende,-8.8432,121.6623,26.42,87,100,1.61,ID,1706310748
106,colonia,50.9333,6.95,4.98,78,40,1.54,DE,1706310749
107,polyarnyy,69.1989,33.4478,-9.07,95,100,5.52,RU,1706310749
108,mariental,-24.6333,17.9667,23.34,57,92,5.14,NA,1706310749
109,howard springs,-12.497,131.047,28.26,95,100,6.42,AU,1706310750
110,pisco,-13.7,-76.2167,25.03,78,0,8.23,PE,1706310750
111,mareeba,-17.0,145.4333,28.6,90,97,3.04,AU,1706310750
112,haiku-pauwela,20.9219,-156.3051,27.36,71,40,6.69,US,1706310751
113,papatowai,-46.5619,169.4708,17.52,53,27,7.05,NZ,1706310751
114,derzhavinsk,51.1,66.3167,-17.36,97,85,4.65,KZ,1706310751
115,bardai,11.65,7.2333,18.2,23,2,6.95,NG,1706310752
116,elliot lake,46.3834,-82.6331,0.63,97,100,1.55,CA,1706310752
117,sorong,-0.8833,131.25,27.04,81,65,3.3,ID,1706310752
118,port lincoln,-34.7333,135.8667,17.68,56,8,4.0,AU,1706310521
119,fale old settlement,-9.3852,-171.2468,29.85,67,99,5.3,TK,1706310753
120,bredasdorp,-34.5322,20.0403,20.61,80,96,2.39,ZA,1706310753
121,luza,60.6308,47.2512,-9.13,97,100,1.71,RU,1706310754
122,axim,4.8699,-2.2405,26.57,84,3,2.02,GH,1706310754
123,porto seguro,-16.4497,-39.0647,26.29,94,75,2.57,BR,1706310754
124,hawaiian paradise park,19.5933,-154.9731,28.83,70,0,6.17,US,1706310755
125,pizarro,4.9533,-77.366,27.39,86,89,1.5,CO,1706310755
126,qaqortoq,60.7167,-46.0333,-25.64,74,0,3.13,GL,1706310755
127,bannur,12.3308,76.8631,17.33,87,34,2.36,IN,1706310756
128,chima,30.6854,76.0863,8.36,43,86,3.34,IN,1706310756
129,lebu,-37.6167,-73.65,17.34,82,44,3.42,CL,1706310756
130,afaahiti,-17.75,-149.2833,27.81,79,64,4.15,PF,1706310757
131,itaguacu,-19.8019,-40.8556,24.16,97,100,1.06,BR,1706310757
132,scottburgh,-30.2867,30.7532,21.65,90,3,4.77,ZA,1706310758
133,nova sintra,14.8667,-24.7167,21.35,73,64,3.27,CV,1706310758
134,chui,-33.6971,-53.4616,20.82,73,0,4.41,UY,1706310497
135,tsivil'sk,55.8611,47.4664,-6.44,97,100,3.14,RU,1706310759
136,salinopolis,-0.6136,-47.3561,26.05,87,62,4.27,BR,1706310759
137,trevelin,-43.0858,-71.4639,23.84,37,2,4.07,AR,1706310759
138,georgetown,5.4112,100.3354,26.96,85,20,3.09,MY,1706309996
139,iqaluit,63.7506,-68.5145,-35.36,90,86,6.15,CA,1706310505
140,punta arenas,-53.15,-70.9167,15.06,55,0,13.89,CL,1706310535
141,tlacotepec,20.0667,-97.8667,21.65,66,17,1.43,MX,1706310760
142,kiunga,-6.1219,141.2906,26.63,88,75,1.08,PG,1706310761
143,ljusdal,61.8288,16.0913,-3.49,98,100,1.02,SE,1706310761
144,tura,25.5198,90.2201,10.59,52,4,1.23,IN,1706310761
145,ixtapa,20.7,-105.2,25.68,73,0,5.66,MX,1706310762
146,namibe,-15.1961,12.1522,25.48,78,84,1.63,AO,1706310762
147,nuku'alofa,-21.1333,-175.2,29.19,89,75,4.12,TO,1706310762
148,aasiaat,68.7098,-52.8699,-27.85,99,98,3.17,GL,1706310525
149,kone,-21.0595,164.8658,30.41,52,18,1.05,NC,1706310763
150,salalah,17.0151,54.0924,25.05,69,75,2.57,OM,1706310763
151,las cruces,32.3123,-106.7783,15.06,39,0,6.26,US,1706310489
152,amga,60.8953,131.9608,-24.84,100,100,0.41,RU,1706310764
153,sirte,31.2089,16.5887,16.23,70,41,3.38,LY,1706310764
154,port mathurin,-19.6833,63.4167,27.59,82,98,4.33,MU,1706310765
155,selfoss,63.9331,-20.9971,-3.31,70,95,11.05,IS,1706310765
156,enewetak,11.3474,162.3373,25.88,62,98,5.1,MH,1706310765
157,new norfolk,-42.7826,147.0587,18.72,61,56,5.91,AU,1706310766
158,kattivakkam,13.2167,80.3167,24.05,77,42,3.92,IN,1706310766
159,mata-utu,-13.2816,-176.1745,26.28,86,100,3.38,WF,1706310766
160,uturoa,-16.7333,-151.4333,28.24,74,34,2.65,PF,1706310510
161,codrington,-38.2667,141.9667,18.87,57,84,7.05,AU,1706310767
162,tomatlan,19.9333,-105.25,29.64,44,0,3.01,MX,1706310767
163,bilibino,68.0546,166.4372,-40.49,100,99,0.22,RU,1706310711
164,praia da vitoria,38.7333,-27.0667,17.64,97,100,7.31,PT,1706310768
165,baoying,33.2292,119.3092,0.25,57,73,0.65,CN,1706310769
166,taber,49.8167,-112.1518,4.81,66,23,4.84,CA,1706310762
167,butte,39.6499,-121.5677,14.44,72,75,1.54,US,1706310769
168,holualoa,19.6228,-155.9522,26.54,74,0,6.69,US,1706310770
